2025-05-31 07:10:42,996 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:10:48,233 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:10:53,493 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:10:58,733 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:03,980 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:09,236 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:14,481 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:19,739 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:25,024 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:30,249 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:35,484 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:40,733 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:45,963 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:51,223 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:11:56,473 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:01,731 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:07,047 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:12,237 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:17,589 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:22,976 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:28,226 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:33,481 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:38,742 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:43,980 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:49,262 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:54,478 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:12:59,727 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:04,979 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:10,221 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:15,477 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:20,735 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:25,981 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:31,238 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:36,486 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:41,724 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:46,982 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:52,294 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:13:57,592 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:03,027 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:08,228 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:13,484 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:18,724 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:23,983 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:29,270 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:34,483 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:39,777 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:44,996 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:50,225 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:14:55,488 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:00,739 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:05,975 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:11,260 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:16,498 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:21,723 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:26,989 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:32,291 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:37,480 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:43,195 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:48,482 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:53,750 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:15:58,974 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:16:04,228 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:16:09,468 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:16:14,792 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:16:19,999 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:16:25,230 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:16:30,479 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
