2025-05-29 00:04:12 | INFO | 📤 Stream-Signal gesendet | ID: 1748469852154-1 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:17 | INFO | 📤 Stream-Signal gesendet | ID: 1748469857411-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:17 | INFO | 📤 Stream-Signal gesendet | ID: 1748469857411-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:17 | INFO | 📤 Stream-Signal gesendet | ID: 1748469857412-0 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:22 | INFO | 📤 Stream-Signal gesendet | ID: 1748469862661-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:22 | INFO | 📤 Stream-Signal gesendet | ID: 1748469862661-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:22 | INFO | 📤 Stream-Signal gesendet | ID: 1748469862662-0 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:27 | INFO | 📤 Stream-Signal gesendet | ID: 1748469867910-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:27 | INFO | 📤 Stream-Signal gesendet | ID: 1748469867910-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:27 | INFO | 📤 Stream-Signal gesendet | ID: 1748469867910-2 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:33 | INFO | 📤 Stream-Signal gesendet | ID: 1748469873145-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:33 | INFO | 📤 Stream-Signal gesendet | ID: 1748469873145-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:33 | INFO | 📤 Stream-Signal gesendet | ID: 1748469873146-0 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:38 | INFO | 📤 Stream-Signal gesendet | ID: 1748469878410-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:38 | INFO | 📤 Stream-Signal gesendet | ID: 1748469878410-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:38 | INFO | 📤 Stream-Signal gesendet | ID: 1748469878410-2 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:43 | INFO | 📤 Stream-Signal gesendet | ID: 1748469883670-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:43 | INFO | 📤 Stream-Signal gesendet | ID: 1748469883670-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:43 | INFO | 📤 Stream-Signal gesendet | ID: 1748469883671-0 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:48 | INFO | 📤 Stream-Signal gesendet | ID: 1748469888919-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:48 | INFO | 📤 Stream-Signal gesendet | ID: 1748469888919-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:48 | INFO | 📤 Stream-Signal gesendet | ID: 1748469888920-0 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:54 | INFO | 📤 Stream-Signal gesendet | ID: 1748469894162-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:54 | INFO | 📤 Stream-Signal gesendet | ID: 1748469894162-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:54 | INFO | 📤 Stream-Signal gesendet | ID: 1748469894162-2 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:04:59 | INFO | 📤 Stream-Signal gesendet | ID: 1748469899410-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:04:59 | INFO | 📤 Stream-Signal gesendet | ID: 1748469899411-0 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:04:59 | INFO | 📤 Stream-Signal gesendet | ID: 1748469899411-1 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:05:04 | INFO | 📤 Stream-Signal gesendet | ID: 1748469904679-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:05:04 | INFO | 📤 Stream-Signal gesendet | ID: 1748469904679-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:05:04 | INFO | 📤 Stream-Signal gesendet | ID: 1748469904679-2 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:05:09 | INFO | 📤 Stream-Signal gesendet | ID: 1748469909924-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:05:09 | INFO | 📤 Stream-Signal gesendet | ID: 1748469909925-0 | Symbol: GBPUSD | Aktion: VERKAUFEN
2025-05-29 00:05:09 | INFO | 📤 Stream-Signal gesendet | ID: 1748469909925-1 | Symbol: XAUUSD | Aktion: KAUFEN
2025-05-29 00:05:15 | INFO | 📤 Stream-Signal gesendet | ID: 1748469915152-0 | Symbol: EURUSD | Aktion: KAUFEN
2025-05-29 00:05:15 | INFO | 📤 Stream-Signal gesendet | ID: 1748469915152-1 | Symbol: GBPUSD | Aktion: VERKAUFEN
